municip_code_ibge,municip_code,municip_name,year,dengue_year,pop_year,lon,lat
4100103,410010,Abati√°,2001,0,7983,-50.3096798376024,-23.3071841285206
4100103,410010,Abati√°,2002,1,7843,-50.3096798376024,-23.3071841285206
4100103,410010,Abati√°,2003,2,7649,-50.3096798376024,-23.3071841285206
4100103,410010,Abati√°,2004,0,7244,-50.3096798376024,-23.3071841285206
4100103,410010,Abati√°,2005,0,7019,-50.3096798376024,-23.3071841285206
4100103,410010,Abati√°,2006,0,6796,-50.3096798376024,-23.3071841285206
4100103,410010,Abati√°,2007,1,7791,-50.3096798376024,-23.3071841285206
4100103,410010,Abati√°,2008,0,7965,-50.3096798376024,-23.3071841285206
4100103,410010,Abati√°,2009,0,7928,-50.3096798376024,-23.3071841285206
4100103,410010,Abati√°,2010,1,7753,-50.3096798376024,-23.3071841285206
4100103,410010,Abati√°,2011,2,7727,-50.3096798376024,-23.3071841285206
4100103,410010,Abati√°,2012,1,7690,-50.3096798376024,-23.3071841285206
4100103,410010,Abati√°,2013,0,7881,-50.3096798376024,-23.3071841285206
4100103,410010,Abati√°,2014,2,7852,-50.3096798376024,-23.3071841285206
4100103,410010,Abati√°,2015,294,7823,-50.3096798376024,-23.3071841285206
4100103,410010,Abati√°,2016,3,7795,-50.3096798376024,-23.3071841285206
4100103,410010,Abati√°,2017,0,7768,-50.3096798376024,-23.3071841285206
4100103,410010,Abati√°,2018,1,7507,-50.3096798376024,-23.3071841285206
4100103,410010,Abati√°,2019,90,7457,-50.3096798376024,-23.3071841285206
4100103,410010,Abati√°,2020,18,7408,-50.3096798376024,-23.3071841285206
4100202,410020,Arranjo Populacional de Adrianópolis/PR - Ribeira/SP,2001,1,10215,-48.8640812552222,-24.7484171794682
4100202,410020,Arranjo Populacional de Adrianópolis/PR - Ribeira/SP,2002,1,9988,-48.8640812552222,-24.7484171794682
4100202,410020,Arranjo Populacional de Adrianópolis/PR - Ribeira/SP,2003,0,9745,-48.8640812552222,-24.7484171794682
4100202,410020,Arranjo Populacional de Adrianópolis/PR - Ribeira/SP,2004,0,9234,-48.8640812552222,-24.7484171794682
4100202,410020,Arranjo Populacional de Adrianópolis/PR - Ribeira/SP,2005,0,8950,-48.8640812552222,-24.7484171794682
4100202,410020,Arranjo Populacional de Adrianópolis/PR - Ribeira/SP,2006,0,8669,-48.8640812552222,-24.7484171794682
4100202,410020,Arranjo Populacional de Adrianópolis/PR - Ribeira/SP,2007,1,10153,-48.8640812552222,-24.7484171794682
4100202,410020,Arranjo Populacional de Adrianópolis/PR - Ribeira/SP,2008,0,10419,-48.8640812552222,-24.7484171794682
4100202,410020,Arranjo Populacional de Adrianópolis/PR - Ribeira/SP,2009,0,10401,-48.8640812552222,-24.7484171794682
4100202,410020,Arranjo Populacional de Adrianópolis/PR - Ribeira/SP,2010,0,9732,-48.8640812552222,-24.7484171794682
4100202,410020,Arranjo Populacional de Adrianópolis/PR - Ribeira/SP,2011,0,9675,-48.8640812552222,-24.7484171794682
4100202,410020,Arranjo Populacional de Adrianópolis/PR - Ribeira/SP,2012,0,9617,-48.8640812552222,-24.7484171794682
